sampleID	shannon_div	simpson_div	chao_richness	shannon_evenness	obs_richness
E3_GP38_day2_pp08	0.03248	0.9927	17.14	0.01235	12.39
E3_GP38_day2_pp09	0.1682	0.9522	40.69	0.04791	30.69
E3_GP38_day2_pp10	0.4646	0.7948	26.18	0.1466	22.94
E3_GP38_day2_pp11	0.04116	0.9908	22.19	0.01435	17.33
E3_GP38_day2_pp12	0.03095	0.9933	27.18	0.01075	16.85
E3_GP38_day2_pp13	0.1123	0.967	34.73	0.03487	23.89
E3_GP38_day2_pp14	0.03692	0.9913	20.57	0.01377	14.27
E3_GP38_day2_pp15	0.8195	0.5271	31.77	0.2605	23.28
E3_GP38_day2_pp16	0.01398	0.9974	13.85	0.00568	9.756
E3_GP38_day2_pp17	0.02286	0.9952	17.59	0.008447	13.35
E3_GP38_day2_pp18	0.01997	0.996	23.13	0.007394	13.66
E3_GP38_day2_pp20	0.02543	0.9945	16.39	0.009819	13.45
E3_GP38_day2_pp21	0.1058	0.9675	28.1	0.03409	20.41
E3_GP38_day3_pp01	0.03297	0.9926	16.91	0.01191	16.76
E3_GP38_day3_pp02	0.01384	0.9974	6.293	0.006282	6.658
E3_GP38_day3_pp03	0.03474	0.9924	16.01	0.01255	16.68
E3_GP38_day3_pp04	0.04772	0.9898	21.69	0.01572	19.05
E3_GP38_day3_pp05	0.05456	0.9865	14.07	0.02074	14.88
E3_GP38_day3_pp06	0.0633	0.982	10.76	0.02667	10.31
E3_GP38_day3_pp07	0.02697	0.9945	21.01	0.009736	15.39
E3_GP38_day3_pp08	0.03047	0.9931	15.86	0.01232	12.67
E3_GP38_day3_pp09	0.03861	0.9906	12.52	0.01591	12.65
E3_GP38_day3_pp10	0.02366	0.995	27.96	0.009186	14.61
E3_GP38_day3_pp11	0.04175	0.9907	19.33	0.01456	16.13
E3_GP38_day3_pp12	0.02513	0.9947	18.67	0.009524	13.21
E3_GP38_day3_pp13	0.02424	0.995	15.38	0.008831	12.63
E3_GP38_day3_pp14	0.0207	0.9954	12.2	0.008792	10.11
E3_GP38_day3_pp15	0.03574	0.9922	21.98	0.0132	13.95
E3_GP38_day3_pp16	0.0388	0.9905	22.14	0.01436	14.21
E3_GP38_day3_pp17	0.01874	0.996	14.92	0.00803	10.36
E3_GP38_day3_pp18	0.01712	0.9966	19.43	0.007222	10.53
E3_GP38_day3_pp19	0.03223	0.9928	17.8	0.01164	14.84
E3_GP38_day3_pp20	0.01805	0.9961	16.31	0.007358	11.68
E3_GP38_day3_pp21	0.02807	0.9939	20.62	0.01048	13.43
E3_GP38_day3_pp22	0.02991	0.9934	18.96	0.0111	14.56
E3_GP44_day2_pp02	0.406	0.8559	15.23	0.1482	14.96
E3_GP44_day2_pp03	0.3577	0.8696	17.26	0.1263	16.8
E3_GP44_day2_pp04	0.3533	0.8829	16.37	0.1264	16.12
E3_GP44_day2_pp05	0.413	0.8565	20.58	0.1398	19.96
E3_GP44_day2_pp06	0.4744	0.8489	44.01	0.1252	45.47
E3_GP44_day2_pp07	0.3945	0.87	23.34	0.1266	22.94
E3_GP44_day2_pp08	0.4226	0.8514	14.14	0.1596	14.11
E3_GP44_day4_pp01	0.009431	1.001	3.297	-0.003971	3.297
E3_GP44_day4_pp02	0.03574	0.9948	186.9	0.0118	21.66
E3_GP44_day4_pp03	0.0	1.0	1.0	0.0	1.0
E3_GP44_day4_pp04	0.004143	1.002	28.97	0.006367	28.97
E3_GP44_day4_pp05	0.01955	0.9959	6.46	0.009748	7.292
E3_GP44_day4_pp06	0.0	1.0	1.0	0.0	1.0
E3_GP44_day4_pp07	-0.009852	1.004	0.6903	-0.01431	0.6903
E3_GP44_day4_pp08	0.0	1.0	1.0	0.0	1.0
E3_GP44_day4_pp09	0.0101	0.9981	6.485	0.00442	6.998
E3_GP44_day4_pp10	0.1056	0.9759	70.02	0.02787	35.29
E3_GP44_day4_pp11	0.004436	0.9989	3.352	0.002029	3.352
E3_GP44_day4_pp12	0.004307	0.9989	3.302	0.003566	3.302
E3_GP44_day4_pp13	0.01405	0.9969	11.84	0.006668	9.752
E3_GP44_day4_pp14	0.004364	0.9989	3.302	0.003643	3.302
E3_GP44_day4_pp15	0.003287	0.9991	2.924	0.001329	2.924
E3_GP44_day4_pp16	0.002153	1.0	2.109	0.003208	2.109
E3_GP44_day4_pp17	0.3362	0.8604	8.156	0.1512	9.307
E3_GP44_day4_pp18	0.08121	0.9752	7.166	0.04001	7.66
E3_GP44_day4_pp19	0.07163	0.978	6.016	0.0398	6.016
E3_GP44_day4_pp20	0.07252	0.9774	4.938	0.04141	4.938
E3_GP44_day4_pp21	0.09086	0.9701	7.414	0.03937	9.042
E3_GP44_day4_pp22	0.08505	0.9721	4.799	0.05352	4.938
E3_GP44_day4_pp23	0.07591	0.9755	5.62	0.04305	5.62
E3_GP44_day4_pp24	0.07606	0.9758	4.272	0.05259	4.272
E3_GP46_day3_pp01	0.1301	0.9525	26.91	0.02238	19.11
E3_GP46_day3_pp02	0.2364	0.9234	8.718	0.08594	12.6
E3_GP46_day3_pp03	0.1825	0.931	7.933	0.06847	8.219
E3_GP46_day3_pp04	0.1502	0.9496	8.04	0.06868	9.225
E3_GP46_day3_pp05	0.1056	0.9654	7.747	0.05597	14.56
E3_GP46_day3_pp06	0.1626	0.9453	14.27	0.0723	10.03
E3_GP46_day3_pp07	0.239	0.9186	9.629	0.1082	9.629
E3_GP46_day3_pp08	0.2049	0.9304	16.46	0.07015	15.41
E3_GP46_day3_pp09	0.1752	0.941	9.01	0.07666	9.01
E3_GP46_day3_pp11	0.1765	0.9326	7.172	0.09661	7.172
E3_GP46_day3_pp12	0.1342	0.9558	6.218	0.07364	6.167
E3_GP46_day3_pp13	0.1573	0.9476	7.56	0.07736	7.56
E3_GP46_day3_pp14	0.1805	0.9366	7.0	0.09769	7.0
E3_GP46_day3_pp15	0.1671	0.9436	8.84	0.07668	8.642
E3_GP46_day3_pp16	0.158	0.9459	7.252	0.08206	7.252
E3_GP46_day3_pp17	0.1416	0.9517	5.086	0.08705	5.086
